gb_book_id,goodreads_id_clean,publication_year,publication_decade,publication_date_final,has_award_final,is_major_publisher_final,external_rating,external_likedpct,external_bbe_ratings_1,external_bbe_ratings_2,external_bbe_ratings_3,external_bbe_ratings_4,external_bbe_ratings_5,external_bbe_ratings_1_share,external_bbe_ratings_2_share,external_bbe_ratings_3_share,external_bbe_ratings_4_share,external_bbe_ratings_5_share,genre_count,has_genres,is_top_genre,is_top_author,in_series,author_book_count_log,pages_log,description_length_log,description_word_count_log,publisher_book_count_log,external_score_log,external_votes_log,external_price_log,external_numratings_log,popularity_score,external_popularity_score,metadata_score
1,2767052,2008.0,2000.0,2008-01-01,1.0,1.0,4.33,96.0,93557.0,171994.0,745221.0,1921313.0,3444695.0,0.0146715113270333,0.0269719199972399,0.1168647812845981,0.3012983041597797,0.5401934832313487,10,1,1,0,1,2.302585092994046,5.926926025970411,6.710523109452428,4.983606621708336,5.056245805348308,14.91205971984918,10.326039184367792,1.8066480817218056,15.668173982540539,10.912186781882104,16.98240442538998,1.0
2,3,1997.0,1990.0,1997-01-01,1.0,1.0,4.47,96.0,118525.0,139551.0,600384.0,1611874.0,4578137.0,0.0168157037178701,0.0197987620293819,0.0851793247074436,0.2286842068301054,0.6495220027151988,9,1,1,0,1,2.1972245773362196,5.736572297479192,7.1731917424865985,5.3981627015177525,5.056245805348308,13.446518642028026,8.90231952852887,,15.768321413708813,10.660145811896799,15.95327380603271,1.0
3,41865,2005.0,2000.0,2005-01-01,1.0,1.0,3.6,78.0,548674.0,542017.0,1008686.0,1113682.0,1751460.0,0.1105190653918335,0.1091781499879444,0.2031789988113652,0.2243282783286759,0.3527955074801808,10,1,1,0,1,2.4849066497880004,6.218600119691729,5.7899601708972535,4.02535169073515,6.322565239927284,14.193569525191977,9.607437230413831,1.1314021114911006,15.417827174050753,7.192283753720709,8.358649904096303,1.0
4,2657,1960.0,1960.0,1960-01-01,1.0,1.0,4.28,95.0,80794.0,149952.0,573280.0,1333153.0,2363896.0,0.0179499341823897,0.0333147081530523,0.1273651294413001,0.2961854668051521,0.5251847614181057,10,1,1,0,1,1.0986122886681098,5.783825182329737,6.684611727667927,4.927253685157205,7.007600613951853,14.635027359273465,10.057452500830639,,15.319827037269153,9.476307763975269,15.835188993061069,1.0
5,4671,1925.0,1920.0,1925-01-01,1.0,1.0,3.92,90.0,112144.0,252115.0,798955.0,1266424.0,1345866.0,0.0297030542147485,0.0667765151354627,0.211615455843776,0.3354317728176159,0.3564732019883967,10,1,1,0,0,1.791759469228055,5.303304908059076,6.424869023905388,4.653960350157523,6.3818160174060985,13.53457236104584,9.004913941467132,,15.144044706552643,7.563475064299431,11.630865240050705,1.0
6,11870085,2012.0,2010.0,2012-01-01,1.0,0.0,4.21,93.0,80898.0,150365.0,512574.0,1022406.0,1784471.0,0.0227835866251125,0.042347820748165,0.1443580079950117,0.2879437769417644,0.5025668076899463,10,1,1,0,0,1.6094379124341003,5.749392985908253,6.282266746896006,4.430816798843313,2.302585092994046,13.898984602631012,9.33149549353265,,15.082659549622344,9.760013373541332,13.928371843398466,1.0
7,5907,1937.0,1930.0,1937-01-01,1.0,0.0,4.27,95.0,60844.0,95662.0,359399.0,853247.0,1527113.0,0.0210077461834466,0.0330294361876416,0.1240905096736659,0.2946025311910339,0.5272697767642118,10,1,1,0,1,1.9459101490553132,5.905361848054571,6.699500340161678,4.997212273764115,3.2188758248682006,11.585050758629576,7.158513997329321,1.7369512327330598,14.878932879098445,8.455548868952214,11.794979449358566,1.0
8,5107,1951.0,1950.0,1951-01-01,1.0,0.0,3.81,86.0,139016.0,234980.0,579292.0,846027.0,937208.0,0.0508002308038339,0.0858680888119705,0.2116890667463785,0.3091612970181504,0.3424813166196666,10,1,1,0,0,1.6094379124341003,5.627621113690637,7.3395376954076745,5.62040086571715,3.4657359027997265,13.31011847905428,8.784774592161016,1.2809338454620642,14.82219905985471,6.750053515079569,9.577607685145367,1.0
9,960,2000.0,2000.0,2000-01-01,1.0,1.0,3.9,90.0,95748.0,173523.0,559536.0,912265.0,934720.0,0.0357830504015259,0.0648492109999581,0.2091104241286318,0.3409327032893439,0.3493246111805402,10,1,1,0,1,2.0794415416798357,6.602587892189336,6.502790045915623,4.624972813284271,6.3818160174060985,9.735660441892627,5.384495062789089,1.413423028508143,14.79975634297817,6.465625765150829,6.776595688637055,1.0
10,1885,1813.0,1810.0,1813-01-01,0.0,1.0,4.26,94.0,76770.0,113934.0,373311.0,816659.0,1617567.0,0.0256050130726649,0.0380002808313274,0.1245100043658932,0.2723793717716488,0.5395053299584657,10,1,1,0,0,1.0986122886681098,5.634789603169249,6.3784261836515865,4.564348191467836,7.862112211662748,14.500180407274271,9.925884849978166,,14.913536674867277,8.64247018888031,14.917979060703022,1.0
